ScoteseAge,GAT,T_change_1,early_interval,Age,ave_T,T_change,age_length
97,25.3162357,0.66,Phan-Start,541,21.75418163,0,12
98,24.6568736,0.7,,,,,
99,23.9592234,0.65,,,,,
100,23.3122623,0.52,,,,,
101,22.7882953,0.45,,,,,
102,22.3363321,0.44,,,,,
103,21.8938802,0.38,,,,,
104,21.5124471,0.24,,,,,
105,21.2706522,0.21,,,,,
106,21.0588976,0.18,,,,,
107,20.8821684,0.08,,,,,
108,20.8051338,-0.09,,,,,
109,20.8982406,-0.16,,,,,
110,21.0622538,0.11,,,,,
111,20.9497579,0.85,,,,,
112,20.0997463,0.64,,,,,
113,19.4548941,0.05,,,,,
114,19.4018403,-0.55,,,,,
115,19.955023,-0.64,,,,,
116,20.5971928,-1.64,,,,,
117,22.2355982,-0.73,,,,,
118,22.964513,-0.63,,,,,
119,23.5903768,-0.33,,,,,
120,23.9205218,0.09,,,,,
121,23.8351678,0.47,,,,,
122,23.3652307,0.55,,,,,
123,22.8189567,0.64,,,,,
124,22.1818843,0.71,,,,,
125,21.4682953,0.77,,,,,
126,20.7007375,0.54,,,,,
127,20.156653,0.54,,,,,
128,19.6153789,-0.35,,,,,
129,19.9608819,-0.9,,,,,
130,20.8567401,-1.04,,,,,
131,21.8982652,0.06,,,,,
132,21.8360522,1.06,,,,,
133,20.7799273,0.85,,,,,
134,19.9268289,0.68,,,,,
135,19.250532,0.61,,,,,
136,18.6443595,0.16,,,,,
137,18.4877706,-0.26,,,,,
138,18.7498918,-0.54,,,,,
139,19.2866923,0.05,,,,,
140,19.2410367,0.39,,,,,
141,18.8472607,0.48,,,,,
142,18.362347,-0.29,,,,,
143,18.6476394,-0.02,,,,,
144,18.6672181,0.42,,,,,
145,18.244436,-0.92,,,,,
146,19.1595191,-0.17,,,,,
147,19.3293945,-0.21,,,,,
148,19.5353755,-0.22,,,,,
149,19.7544449,-0.24,,,,,
150,19.9966748,-0.22,,,,,
151,20.2212093,-0.23,,,,,
152,20.4561742,-0.27,,,,,
153,20.7272788,-0.44,,,,,
154,21.1651041,-0.5,,,,,
155,21.6680057,-0.49,,,,,
156,22.1551897,-0.04,,,,,
157,22.1996199,0.81,,,,,
158,21.3904986,0.71,,,,,
159,20.6848409,0.9,,,,,
160,19.7815242,0.45,,,,,
161,19.3338068,-0.07,,,,,
162,19.40203,-0.41,,,,,
163,19.8114805,-0.85,,,,,
164,20.6624552,-0.67,,,,,
165,21.328987,-0.85,,,,,
166,22.1768024,-0.52,,,,,
167,22.6940823,-0.18,,,,,
168,22.8750976,0.49,,,,,
169,22.3855571,0.57,,,,,
170,21.8183037,0.34,,,,,
171,21.4793847,-0.13,,,,,
172,21.6067229,-0.75,,,,,
173,22.3518984,-0.65,,,,,
174,23.0059939,-0.75,,,,,
175,23.7536656,-0.6,,,,,
176,24.3517126,-0.28,,,,,
177,24.6337463,0.09,,,,,
178,24.5446159,0.37,,,,,
179,24.1706948,1.09,,,,,
180,23.0856639,1.16,,,,,
181,21.9289293,0.78,,,,,
182,21.1481534,0.65,,,,,
183,20.4969384,0.72,,,,,
184,19.7724718,0.13,,,,,
185,19.6472769,-0.42,,,,,
186,20.0719422,-0.66,,,,,
187,20.7309052,-0.38,,,,,
188,21.1137228,-0.25,,,,,
189,21.3624346,0.1,,,,,
190,21.2578047,0.37,,,,,
191,20.8913789,-0.03,,,,,
192,20.9222508,-0.17,,,,,
193,21.0885891,-0.22,,,,,
194,21.3049709,-0.21,,,,,
195,21.5131708,-0.2,,,,,
196,21.7115121,-0.19,,,,,
197,21.8965338,-0.46,,,,,
198,22.3541571,-1.57,,,,,
199,23.9207635,-0.23,,,,,
200,24.1469846,2.14,,,,,
201,22.0027334,1.2,,,,,
202,20.8057243,0.45,,,,,
203,20.3525458,-0.4,,,,,
204,20.7538855,-0.81,,,,,
205,21.559544,-0.89,,,,,
206,22.4497973,-0.71,,,,,
207,23.1577502,-0.66,,,,,
208,23.8130452,-0.62,,,,,
209,24.4297261,-0.57,,,,,
210,25.0040975,-0.49,,,,,
211,25.4969785,-0.23,,,,,
212,25.7256421,0.85,,,,,
213,24.8727266,-0.58,,,,,
214,25.4521635,-0.21,,,,,
215,25.6572211,0.44,,,,,
216,25.2134888,0.45,,,,,
217,24.7596617,0.34,,,,,
218,24.4191816,0.38,,,,,
219,24.0377931,0.53,,,,,
220,23.5091965,0.47,,,,,
221,23.0402194,0.14,,,,,
222,22.9047512,-0.03,,,,,
223,22.9352681,-0.22,,,,,
224,23.1515832,-0.22,,,,,
225,23.3686279,-0.22,,,,,
226,23.5845621,-0.31,,,,,
227,23.893391,-0.34,,,,,
228,24.2354182,-0.35,,,,,
229,24.5806084,-0.13,,,,,
230,24.7126032,0.1,,,,,
231,24.6121932,0.39,,,,,
232,24.2238413,0.5,,,,,
233,23.7202242,0.27,,,,,
234,23.4494271,0.06,,,,,
235,23.3895559,-0.35,,,,,
236,23.7402533,-0.46,,,,,
237,24.2010993,-0.47,,,,,
238,24.6677135,-0.46,,,,,
239,25.1234192,-0.44,,,,,
240,25.5682152,-0.73,,,,,
241,26.3012425,-0.76,,,,,
242,27.0639863,-0.7,,,,,
243,27.7684172,-0.32,,,,,
244,28.0836074,-0.03,,,,,
245,28.1129467,0,,,,,
246,28.1122787,-0.33,,,,,
247,28.43987,-1.38,,,,,
248,29.8232688,-1.57,,,,,
249,31.3950755,-1.29,,,,,
250,32.6887625,3.48,,,,,
251,29.2118945,0.17,,,,,
252,29.0449307,6.11,,,,,
253,22.930966,3.5,,,,,
254,19.4284845,0.31,,,,,
255,19.1224153,-0.47,,,,,
256,19.5919413,-0.33,,,,,
257,19.9194262,-0.31,,,,,
258,20.231673,0.25,,,,,
259,19.9847274,0.65,,,,,
260,19.3366661,0.76,,,,,
261,18.5793181,0.74,,,,,
262,17.8391435,0.52,,,,,
263,17.3158299,0.28,,,,,
264,17.033297,-0.02,,,,,
265,17.0537228,-0.07,,,,,
266,17.1194803,-0.08,,,,,
267,17.2001468,-0.08,,,,,
268,17.2816298,0.01,,,,,
269,17.2730133,0.29,,,,,
270,16.9780658,0.56,,,,,
271,16.4208917,0.39,,,,,
272,16.0286259,0.31,,,,,
273,15.7171839,0.27,,,,,
274,15.4500832,0.28,,,,,
275,15.1696702,0.25,,,,,
276,14.9223522,0.27,,,,,
277,14.6498069,0.31,,,,,
278,14.3406024,0.21,,,,,
279,14.1263169,0.25,,,,,
280,13.8723195,0.26,,,,,
281,13.6139051,-0.16,,,,,
282,13.7739911,-0.53,,,,,
283,14.3031184,-0.44,,,,,
284,14.7440976,-0.27,,,,,
285,15.0176765,-0.06,,,,,
286,15.081107,0.1,,,,,
287,14.9797475,0.33,,,,,
288,14.652218,0.36,,,,,
289,14.2942381,0.4,,,,,
290,13.8903748,0.45,,,,,
291,13.4413212,0.5,,,,,
292,12.9383389,0.57,,,,,
293,12.3728004,0.59,,,,,
294,11.7856457,0.09,,,,,
295,11.7001955,-0.78,,,,,
296,12.4768288,-0.6,,,,,
297,13.0762262,-0.11,,,,,
298,13.1866055,0.15,,,,,
299,13.0325692,0.45,,,,,
300,12.5822551,-0.02,,,,,
301,12.6006601,-0.19,,,,,
302,12.7906311,-0.28,,,,,
303,13.0671266,-0.23,,,,,
304,13.298727,-0.19,,,,,
305,13.487373,-0.13,,,,,
306,13.6155381,-0.06,,,,,
307,13.678071,-0.02,,,,,
308,13.6940412,0,,,,,
309,13.6925035,0.04,,,,,
310,13.6554756,0.06,,,,,
311,13.5913368,0.13,,,,,
312,13.4615642,0.18,,,,,
313,13.2801577,0.22,,,,,
314,13.0619255,0.45,,,,,
315,12.6098641,0.38,,,,,
316,12.2299575,0.33,,,,,
317,11.8965942,0.17,,,,,
318,11.7261179,-0.08,,,,,
319,11.8090869,-0.42,,,,,
320,12.2328421,-0.68,,,,,
321,12.9118411,-0.93,,,,,
322,13.8455261,-1.03,,,,,
323,14.8706488,-0.89,,,,,
324,15.764728,-0.83,,,,,
325,16.5942858,-0.63,,,,,
326,17.2196932,-0.52,,,,,
327,17.7438343,-0.44,,,,,
328,18.180459,-0.35,,,,,
329,18.5282628,-0.21,,,,,
330,18.7394028,-0.11,,,,,
331,18.8461398,-0.01,,,,,
332,18.8578163,0.05,,,,,
333,18.8116733,0.01,,,,,
334,18.7982576,-0.01,,,,,
335,18.8060614,-0.02,,,,,
336,18.8308402,-0.05,,,,,
337,18.8850991,-0.06,,,,,
338,18.9426962,-0.03,,,,,
339,18.9730212,0.04,,,,,
340,18.9297236,0.2,,,,,
341,18.7314189,0.03,,,,,
342,18.7028944,-0.44,,,,,
343,19.1409124,-0.02,,,,,
344,19.1606827,-0.03,,,,,
345,19.1890022,-0.05,,,,,
346,19.2412,-0.06,,,,,
347,19.3041607,-0.17,,,,,
348,19.4743702,-0.54,,,,,
349,20.0126294,-0.02,,,,,
350,20.0313702,-1.21,,,,,
351,21.2418529,-0.74,,,,,
352,21.9852024,-0.54,,,,,
353,22.5215629,-0.43,,,,,
354,22.9564816,-0.09,,,,,
355,23.0457223,0.55,,,,,
356,22.4929213,0.8,,,,,
357,21.6947556,0.81,,,,,
358,20.8821321,0.28,,,,,
359,20.6038184,-0.32,,,,,
360,20.9232423,-0.26,,,,,
361,21.1824214,-0.13,,,,,
362,21.3119765,0.03,,,,,
363,21.2778464,0.05,,,,,
364,21.2311242,-0.2,,,,,
365,21.4332351,-0.61,,,,,
366,22.0460417,-1.12,,,,,
367,23.1677905,-0.84,,,,,
368,24.0088138,-0.54,,,,,
369,24.5466928,-0.14,,,,,
370,24.6864339,0.17,,,,,
371,24.5118364,0.27,,,,,
372,24.2455479,0.2,,,,,
373,24.0429211,0.24,,,,,
374,23.8042753,0.32,,,,,
375,23.4799532,0.64,,,,,
376,22.8360957,1.17,,,,,
377,21.662373,1.33,,,,,
378,20.3331285,1.23,,,,,
379,19.1064394,0.42,,,,,
380,18.6892129,-0.47,,,,,
381,19.1594078,-0.89,,,,,
382,20.0505493,-1.11,,,,,
383,21.1562975,-0.85,,,,,
384,22.0091495,0.25,,,,,
385,21.761282,0.91,,,,,
386,20.8525527,1.36,,,,,
387,19.4918899,0.75,,,,,
388,18.7444869,-0.1,,,,,
389,18.846442,-0.62,,,,,
390,19.4702581,-0.35,,,,,
391,19.8222568,0.58,,,,,
392,19.2409639,0.71,,,,,
393,18.5288508,0.41,,,,,
394,18.1215707,0.28,,,,,
395,17.8380782,0.29,,,,,
396,17.5466361,0.45,,,,,
397,17.1000131,0.46,,,,,
398,16.6382115,-0.12,,,,,
399,16.7617739,-1.02,,,,,
400,17.7831126,-1.98,,,,,
401,19.7610731,-1.32,,,,,
402,21.079053,-0.81,,,,,
403,21.8868705,0.19,,,,,
404,21.6970157,0.98,,,,,
405,20.715084,1.98,,,,,
406,18.7307412,1.19,,,,,
407,17.5358331,0.19,,,,,
408,17.3445552,-0.96,,,,,
409,18.3014531,-0.92,,,,,
410,19.2166607,-0.73,,,,,
411,19.9431126,-0.92,,,,,
412,20.8642724,-0.77,,,,,
413,21.6367999,0.13,,,,,
414,21.5081723,0.52,,,,,
415,20.9858257,0.6,,,,,
416,20.3856463,0.37,,,,,
417,20.012544,0.28,,,,,
418,19.7344823,0.23,,,,,
419,19.5011858,0.35,,,,,
420,19.1521134,0.86,,,,,
421,18.2877891,0.3,,,,,
422,17.9918259,0.17,,,,,
423,17.8183328,0.03,,,,,
424,17.7886279,0.09,,,,,
425,17.6938553,0.16,,,,,
426,17.5365964,0.32,,,,,
427,17.2211399,0.42,,,,,
428,16.8010035,0.47,,,,,
429,16.3268948,-0.04,,,,,
430,16.3702363,-0.36,,,,,
431,16.7308645,-0.86,,,,,
432,17.5896984,-0.48,,,,,
433,18.067543,-0.42,,,,,
434,18.4891705,-0.23,,,,,
435,18.7175448,0,,,,,
436,18.7133591,0.17,,,,,
437,18.5411001,0.43,,,,,
438,18.112562,0.95,,,,,
439,17.1601462,1.29,,,,,
440,15.8683386,1.55,,,,,
441,14.3153981,2.05,,,,,
442,12.2696849,1.86,,,,,
443,10.4061886,1.08,,,,,
444,9.32765364,0.07,,,,,
445,9.26055529,-0.68,,,,,
446,9.94467571,-1.51,,,,,
447,11.4526718,-1.84,,,,,
448,13.2938051,-1.18,,,,,
449,14.469686,-0.66,,,,,
450,15.1321234,-0.31,,,,,
451,15.4403037,0,,,,,
452,15.4365805,0.23,,,,,
453,15.206141,-0.13,,,,,
454,15.3353576,-0.26,,,,,
455,15.5906988,-0.31,,,,,
456,15.9017068,-0.36,,,,,
457,16.2614753,-0.47,,,,,
458,16.7343068,-0.48,,,,,
459,17.2167345,-0.47,,,,,
460,17.6837753,-0.46,,,,,
461,18.1469869,-0.44,,,,,
462,18.5861376,-0.09,,,,,
463,18.6720982,0,,,,,
464,18.6719062,0.22,,,,,
465,18.4530004,0.42,,,,,
466,18.0342983,-0.03,,,,,
467,18.0622141,-0.17,,,,,
468,18.2331006,-0.18,,,,,
469,18.4137589,-0.19,,,,,
470,18.6012188,-0.23,,,,,
471,18.8277345,-0.52,,,,,
472,19.3433405,-0.25,,,,,
473,19.5930494,-0.16,,,,,
474,19.7488799,-0.08,,,,,
475,19.8320113,-0.07,,,,,
476,19.8990388,-0.12,,,,,
477,20.0174274,-0.15,,,,,
478,20.1645327,-0.14,,,,,
479,20.3019674,-1.04,,,,,
480,21.3370941,-0.3,,,,,
481,21.6401499,-0.3,,,,,
482,21.9388384,-0.24,,,,,
483,22.1797222,-0.23,,,,,
484,22.4104893,-0.24,,,,,
485,22.6527009,-0.37,,,,,
486,23.0194118,-1.52,,,,,
487,24.5359522,1.22,,,,,
488,23.315367,-0.12,,,,,
489,23.431676,-0.19,,,,,
490,23.6191266,-0.18,,,,,
491,23.8018958,-0.1,,,,,
492,23.9035955,-0.04,,,,,
493,23.9473126,0.37,,,,,
494,23.5801395,0.89,,,,,
495,22.6884877,0.39,,,,,
496,22.2942232,0.04,,,,,
497,22.2517783,-0.9,,,,,
498,23.1512826,-0.21,,,,,
499,23.3638239,0.17,,,,,
500,23.1934631,-0.15,,,,,
501,23.3449595,-0.09,,,,,
502,23.4397141,0.13,,,,,
503,23.3102054,-0.22,,,,,
504,23.5270864,-0.91,,,,,
505,24.432509,0.09,,,,,
506,24.3470972,0.25,,,,,
507,24.1020043,0.1,,,,,
508,24.0044591,-0.24,,,,,
509,24.2400426,-1.32,,,,,
510,25.5586932,0.79,,,,,
511,24.7701902,1.22,,,,,
512,23.5514452,-0.02,,,,,
513,23.5672931,0.08,,,,,
514,23.4887482,-1.43,,,,,
515,24.9197958,-0.27,,,,,
516,25.1909274,0.47,,,,,
517,24.7195724,0.48,,,,,
518,24.2445242,0.1,,,,,
519,24.1445774,-0.18,,,,,
520,24.3292601,-0.67,,,,,
521,24.9984133,-0.79,,,,,
522,25.7893027,0.55,,,,,
523,25.2375965,0.92,,,,,
524,24.3224967,0.39,,,,,
525,23.93595,-0.05,,,,,
526,23.9846488,2.14,,,,,
527,21.8415209,0.31,,,,,
528,21.5303845,-0.12,,,,,
529,21.652819,-0.73,,,,,
530,22.380924,-0.04,,,,,
531,22.4244125,0.99,,,,,
532,21.4315178,-0.11,,,,,
533,21.5454074,-0.61,,,,,
534,22.1541349,0.28,,,,,
535,21.8715317,0.83,,,,,
536,21.0403458,0.22,,,,,
537,20.8225816,-0.67,,,,,
538,21.4900129,-0.6,,,,,
539,22.0947338,-0.05,,,,,
540,22.1417581,,,,,,
