"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"7984","F515",50,222,"453","Sandbian","458.4","445.2","Ptychoglyptus","Ptychoglyptus",0,"Brachiopoda","Strophomenata","Strophomenida","Sowerbyellidae",-20.32,-110.7,"Edinburg","Liberty Hall","712208","76336","Edinburgh Formation, Liberty Hall Facies","25807",-110.7,-20.32,-110.191236208665,-16.4313497128954
"7985","F515",50,222,"453","Sandbian","458.4","393.3","Ptychopleurella","Ptychopleurella",0,"Brachiopoda","Rhynchonellata","Orthida","Hesperorthidae",-19.94,-110.29,"Oranda","","1245421","164197","0.6 mile northwest of Linville Station","44678",-110.29,-19.94,-110.191236208665,-16.4313497128954
"7986","F515",50,222,"453","Sandbian","477.7","430.5","Rafinesquina","Rafinesquina",0,"Brachiopoda","Strophomenata","Strophomenida","Rafinesquinidae",-19.94,-110.29,"Oranda","","1245428","164197","0.6 mile northwest of Linville Station","44678",-110.29,-19.94,-110.191236208665,-16.4313497128954
"7987","F515",50,222,"453","Sandbian","477.7","430.5","Rafinesquina","Rafinesquina",0,"Brachiopoda","Strophomenata","Strophomenida","Rafinesquinidae",-14.84,-106.71,"Bobcaygeon","Coboconk","273407","26175","Lake Simcoe Area, Submember C1A","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7988","F515",50,222,"453","Sandbian","477.7","430.5","Rafinesquina","Rafinesquina",0,"Brachiopoda","Strophomenata","Strophomenida","Rafinesquinidae",-14.84,-106.71,"Gull River","Upper","273354","26174","Lake Simcoe Area","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7989","F515",50,222,"453","Sandbian","477.7","430.5","Rafinesquina","Rafinesquina",0,"Brachiopoda","Strophomenata","Strophomenida","Rafinesquinidae",-15.05,-106.63,"Bobcaygeon","Coboconk","273626","26191","Lake Simcoe Area, Lower Member, Submember C2","7251",-106.63,-15.05,-110.191236208665,-16.4313497128954
"7990","F515",50,222,"453","Sandbian","477.7","430.5","Rafinesquina","Rafinesquina",0,"Brachiopoda","Strophomenata","Strophomenida","Rafinesquinidae",-14.84,-106.71,"Bobcaygeon","Coboconk","273593","26188","Lake Simcoe Area, Lower Member, Submember C1B","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7991","F515",50,222,"453","Sandbian","470","410.8","Raphistomina","Raphistomina",0,"Mollusca","Gastropoda","Euomphalina","Holopeidae",-14.84,-106.71,"Gull River","Upper","273365","26174","Lake Simcoe Area","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7992","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Liberty Hall","1326850","178259","I7777LH, I-77 road cut, Liberty Hall member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7993","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326785","178251","I7758EG, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7994","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Botetourt","1326828","178256","I7760BT, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7995","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Botetourt","1326838","178257","I7767.5BT, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7996","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326794","178252","I77EG2, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7997","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Botetourt","1326815","178255","I77BT1, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7998","F515",50,222,"453","Sandbian","467.3","445.2","Raymondaspis","Raymondaspis",0,"Arthropoda","Trilobita","Corynexochida","Styginidae",-19.13,-110.98,"Edinburg","Liberty Hall","1326844","178258","I7774LH, I-77 road cut, Liberty Hall member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
