"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"7988","F382",30,540,3.6,"Zanclean",47.8,0.0117,"Oliva","Oliva",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.3,-78.47,432236,41757,11248,-78.47,1.3,-81.7390955747072,2.38295803461706
"7989","F382",30,540,3.6,"Zanclean",47.8,0.0117,"Oliva","Oliva",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.17,-77.89,1078704,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7990","F382",30,540,3.6,"Zanclean",47.8,0.0117,"Oliva","Oliva",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.2,-78.8,1079228,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"7991","F382",30,540,3.6,"Zanclean",3.6,0.0117,"Oliva","Oliva (Ispidula)",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.28,-78.52,577556,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"7992","F382",30,540,3.6,"Zanclean",3.6,0.0117,"Oliva","Oliva (Ispidula)",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.29,-78.55,1078624,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7993","F382",30,540,3.6,"Zanclean",61.6,0.0117,"Olivella","Olivella",0,"Mollusca","Gastropoda","Neogastropoda","Olividae",1.17,-77.89,1078705,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7994","F382",30,540,3.6,"Zanclean",254.14,0.0117,"Ostrea","Ostrea",0,"Mollusca","Bivalvia","Ostreida","Ostreidae",1.29,-78.55,1078625,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7995","F382",30,540,3.6,"Zanclean",254.14,0.0117,"Ostrea","Ostrea",0,"Mollusca","Bivalvia","Ostreida","Ostreidae",1.2,-78.8,1079191,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"7996","F382",30,540,3.6,"Zanclean",3.6,3.6,"Pachyturris","Pachyturris",1,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.28,-78.64,577624,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"7997","F382",30,540,3.6,"Zanclean",100.5,0.0117,"Parvilucina","Parvilucina",0,"Mollusca","Bivalvia","Lucinida","Lucinidae",1.17,-77.89,1078706,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7998","F382",30,540,3.6,"Zanclean",100.5,0.0117,"Parvilucina","Parvilucina",0,"Mollusca","Bivalvia","Lucinida","Lucinidae",1.17,-77.89,1078773,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7999","F382",30,540,3.6,"Zanclean",100.5,0.0117,"Parvilucina","Parvilucina",0,"Mollusca","Bivalvia","Lucinida","Lucinidae",1.17,-77.89,1078849,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8000","F382",30,540,3.6,"Zanclean",37.71,0.0117,"Parviturbo","Parviturbo",0,"Mollusca","Bivalvia","No","Skeneidae",1.17,-77.89,1078850,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8001","F382",30,540,3.6,"Zanclean",201.4,0.0117,"Pecten","Pecten (Pecten)",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",1.2,-78.8,1079193,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"8002","F382",30,540,3.6,"Zanclean",201.4,0.0117,"Pecten","Pecten (Pecten)",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",1.28,-78.64,577602,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"8003","F382",30,540,3.6,"Zanclean",41.2,0.774,"Persicula","Persicula",0,"Mollusca","Gastropoda","Neogastropoda","Cystiscidae",1.2,-78.8,1079210,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"8004","F382",30,540,3.6,"Zanclean",27.82,0.0117,"Persististrombus","Persististrombus",0,"Mollusca","Gastropoda","Sorbeoconcha","Strombidae",1.28,-78.64,951516,111211,36423,-78.64,1.28,-81.7390955747072,2.38295803461706
"8005","F382",30,540,3.6,"Zanclean",7.246,1.8,"Perunassa","Perunassa",0,"Mollusca","Gastropoda","Neogastropoda","Buccinidae",1.29,-78.55,1078627,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8006","F382",30,540,3.6,"Zanclean",27.82,0.0117,"Phyllonotus","Phyllonotus",0,"Mollusca","Gastropoda","Neogastropoda","Muricidae",1.3,-78.47,432239,41757,11248,-78.47,1.3,-81.7390955747072,2.38295803461706
"8007","F382",30,540,3.6,"Zanclean",59.2,0.0117,"Pitar","Pitar (Pitar)",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",1.28,-78.52,577514,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"8008","F382",30,540,3.6,"Zanclean",59.2,0.0117,"Pitar","Pitar (Pitar)",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",1.17,-77.89,1078851,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8009","F382",30,540,3.6,"Zanclean",59.2,0.0117,"Pitar","Pitar (Pitar)",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",1.29,-78.55,1078628,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8010","F382",30,540,3.6,"Zanclean",59.2,0.0117,"Pitar","Pitar (Pitar)",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",1.17,-77.89,1078707,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8011","F382",30,540,3.6,"Zanclean",37.71,0.0117,"Placopecten","Placopecten",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",1.17,-77.89,1078852,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8012","F382",30,540,3.6,"Zanclean",23.03,2.58,"Placunanomia","Placunanomia",0,"Mollusca","Bivalvia","Pectinida","Anomiidae",1.28,-78.64,577597,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"8013","F382",30,540,3.6,"Zanclean",59.2,0.0117,"Pleuroploca","Pleuroploca",0,"Mollusca","Gastropoda","Neogastropoda","Fasciolariidae",1.29,-78.55,1078629,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8014","F382",30,540,3.6,"Zanclean",61.6,0.0117,"Pleurotomella","Pleurotomella",0,"Mollusca","Gastropoda","Neogastropoda","Raphitomidae",1.28,-78.64,577626,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"8015","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Plicatula","Plicatula",0,"Mollusca","Bivalvia","Pectinida","Plicatulidae",1.29,-78.55,1078630,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8016","F382",30,540,3.6,"Zanclean",66,3.6,"Poirieria","Poirieria (Paziella)",1,"Mollusca","Gastropoda","Neogastropoda","Muricidae",1.3,-78.47,432241,41757,11248,-78.47,1.3,-81.7390955747072,2.38295803461706
"8017","F382",30,540,3.6,"Zanclean",66,3.6,"Poirieria","Poirieria (Paziella)",1,"Mollusca","Gastropoda","Neogastropoda","Muricidae",1.29,-78.55,1078631,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8018","F382",30,540,3.6,"Zanclean",66,3.6,"Poirieria","Poirieria (Paziella)",1,"Mollusca","Gastropoda","Neogastropoda","Muricidae",1.28,-78.64,432266,41574,11248,-78.64,1.28,-81.7390955747072,2.38295803461706
"8019","F382",30,540,3.6,"Zanclean",3.6,3.6,"Poirieria","Poirieria (Poirieria)",1,"Mollusca","Gastropoda","Neogastropoda","Muricidae",1.3,-78.47,432242,41757,11248,-78.47,1.3,-81.7390955747072,2.38295803461706
"8020","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Polinices","Polinices",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.17,-77.89,1078775,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8021","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Polinices","Polinices",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.29,-78.48,428593,41763,11194,-78.48,1.29,-81.7390955747072,2.38295803461706
"8022","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Polinices","Polinices",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.2,-78.8,1079211,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"8023","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Polinices","Polinices",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.29,-78.48,428592,41802,11194,-78.48,1.29,-81.7390955747072,2.38295803461706
"8024","F382",30,540,3.6,"Zanclean",247.2,0.0117,"Polinices","Polinices",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.28,-78.64,951518,111211,36423,-78.64,1.28,-81.7390955747072,2.38295803461706
