"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.00447879931610933,0.0169910804096393,49,0.00242729720137704,-0.0288237182867836,0.0377813169190023
"2","2000",0.00417404180436459,0.0154382470594423,49,0.00220546386563462,-0.0260849224321424,0.0344330060408716
"3","4000",0.00277538747688808,0.0124355649117348,49,0.00177650927310498,-0.0215983197501122,0.0271490947038884
"4","6000",-0.000504462451885214,0.0144011680066426,49,0.00205730971523465,-0.0287307517449046,0.0277218268411342
"5","8000",-0.00443448027153671,0.0266607663214967,45,0.00397435238847358,-0.0566895822616702,0.0478206217185968
"6","10000",-0.00348374419262157,0.0233016685194886,32,0.00411919195577288,-0.0491550144908193,0.0421875261055762
"7","12000",0.00411571491187651,0.0266652693984026,14,0.00712659301534646,-0.0481482131089927,0.0563796429327457
"8","14000",0.00155708787544931,0.0277669289275264,14,0.00742102390926473,-0.0528660928225025,0.0559802685734011
"9","16000",0.0120348762496932,0.0262359693133272,8,0.00927581590622791,-0.0393876236044281,0.0634573761038145
