"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.00544088683215272,0.0229865085992559,49,0.00328378694275084,-0.0396126700223888,0.0504944436866942
"2","2000",0.00520306109546251,0.0156462057877736,49,0.00223517225539623,-0.0254635022485738,0.0358696244394988
"3","4000",-0.000656383294641115,0.0257102220452921,49,0.00367288886361316,-0.0510484185034137,0.0497356519141315
"4","6000",0,0,49,0,0,0
"5","8000",0.00249772338527177,0.0171645843834767,49,0.00245208348335381,-0.0311448620063425,0.0361403087768861
"6","10000",0.00346773279041173,0.0155033670031262,49,0.00221476671473231,-0.0269188665357156,0.033854332116539
"7","12000",0.00332761886052669,0.0163525248141372,49,0.00233607497344817,-0.0287233297751822,0.0353785674962356
"8","14000",0.000312619047008685,0.015474344972993,49,0.00221062071042757,-0.0300170971000576,0.030642335194075
"9","16000",0.000144886505914339,0.0124478611585853,49,0.0017782658797979,-0.0242529213649128,0.0245426943767415
